,movie_id,movie_id,final_prediction
0,62693,62693,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1,296252,296252,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2,1356971,1356971,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
3,1428872,1428872,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
4,1582173,1582173,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
5,1595142,1595142,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
6,1600825,1600825,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
7,1681132,1681132,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
8,2268290,2268290,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
9,3327607,3327607,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
10,3569957,3569957,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
11,4413498,4413498,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
12,4635580,4635580,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
13,4950989,4950989,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
14,5565692,5565692,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
15,7003785,7003785,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
16,8269287,8269287,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
17,9560197,9560197,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18,10731337,10731337,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
19,11192132,11192132,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
20,11272068,11272068,1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0
21,12324827,12324827,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
22,13333148,13333148,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
23,13949859,13949859,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
24,15260151,15260151,1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0
25,15739815,15739815,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
26,16706073,16706073,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
27,17341391,17341391,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
28,19286389,19286389,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
29,19940419,19940419,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30,20312589,20312589,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
31,20622279,20622279,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
32,22657516,22657516,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33,22822894,22822894,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
34,23658166,23658166,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
35,23863620,23863620,1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
36,24003057,24003057,1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
37,24225138,24225138,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
38,24817139,24817139,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
39,24950437,24950437,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
40,25233202,25233202,1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0
41,27858537,27858537,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
42,27996231,27996231,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
43,28679286,28679286,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44,33280938,33280938,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
45,33916241,33916241,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46,35968313,35968313,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
47,36344884,36344884,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
48,68047,68047,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
49,74848,74848,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
50,149789,149789,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
51,235418,235418,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
52,526277,526277,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
53,1348418,1348418,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
